date,Adj Close,Close,High,Low,Open,Volume
3/1/2022,178.1036377,182.0099945,182.8800049,177.7100067,177.8300018,104487900
4/1/2022,175.8432617,179.6999969,182.9400024,179.1199951,182.6300049,99310400
5/1/2022,171.1658173,174.9199982,180.1699982,174.6399994,179.6100006,94537600
6/1/2022,168.3084869,172,175.3000031,171.6399994,172.6999969,96904000
7/1/2022,168.4748535,172.1699982,174.1399994,171.0299988,172.8899994,86709100
10/1/2022,168.4944,172.1900024,172.5,168.1699982,169.0800018,106765600
11/1/2022,171.3223877,175.0800018,175.1799927,170.8200073,172.3200073,76138300
12/1/2022,171.7627411,175.5299988,177.1799927,174.8200073,176.1199951,74805200
13/1/2022,168.4944,172.1900024,176.6199951,171.7899933,175.7799988,84505800
14/1/2022,169.355545,173.0700073,173.7799988,171.0899963,171.3399963,80440800
18/1/2022,166.1556854,169.8000031,172.5399933,169.4100037,171.5099945,90956700
19/1/2022,162.6623077,166.2299957,171.0800018,165.9400024,170,94815000
20/1/2022,160.9792786,164.5099945,169.6799927,164.1799927,166.9799957,91420500
21/1/2022,158.9243317,162.4100037,166.3300018,162.3000031,164.4199982,122848900
24/1/2022,158.1512909,161.6199951,162.3000031,154.6999969,160.0200043,162294600
25/1/2022,156.350769,159.7799988,162.7599945,157.0200043,158.9799957,115798400
26/1/2022,156.2627106,159.6900024,164.3899994,157.8200073,163.5,108275300
27/1/2022,155.8027649,159.2200012,163.8399963,158.2799988,162.4499969,121954600
28/1/2022,166.6743469,170.3300018,170.3500061,162.8000031,165.7100067,179935700
31/1/2022,171.0288544,174.7799988,175,169.5099945,170.1600037,115541600
1/2/2022,170.8625031,174.6100006,174.8399963,172.3099976,174.0099945,86213900
2/2/2022,172.0661316,175.8399963,175.8800049,173.3300018,174.75,84914300
3/2/2022,169.189209,172.8999939,176.2400055,172.1199951,174.4799957,89418100
4/2/2022,168.9050446,172.3899994,174.1000061,170.6799927,171.6799927,82465400
7/2/2022,168.1898193,171.6600037,173.9499969,170.9499969,172.8600006,77251200
8/2/2022,171.2957306,174.8300018,175.3500061,171.4299927,171.7299957,74829200
9/2/2022,172.7164001,176.2799988,176.6499939,174.8999939,176.0500031,71285000
10/2/2022,168.6405029,172.1199951,175.4799957,171.5500031,174.1399994,90865900
11/2/2022,165.2308807,168.6399994,173.0800018,168.0399933,172.3300018,98670700
14/2/2022,165.4660187,168.8800049,169.5800018,166.5599976,167.3699951,86185500
15/2/2022,169.2969513,172.7899933,172.9499969,170.25,170.9700012,62527400
16/2/2022,169.0618134,172.5500031,173.3399963,170.0500031,171.8500061,61177400
17/2/2022,165.4660187,168.8800049,171.9100037,168.4700012,171.0299988,69589300
18/2/2022,163.9179535,167.3000031,170.5399933,166.1900024,169.8200073,82772700
22/2/2022,160.9982147,164.3200073,166.6900024,162.1499939,164.9799957,91162800
23/2/2022,156.8341217,160.0700073,166.1499939,159.75,165.5399933,90009200
24/2/2022,159.4501648,162.7400055,162.8500061,152,152.5800018,141147500
25/2/2022,161.5174713,164.8500061,165.1199951,160.8699951,163.8399963,91974200
28/2/2022,161.7820282,165.1199951,165.4199982,162.4299927,163.0599976,95056600
1/3/2022,159.9008026,163.1999969,166.6000061,161.9700012,164.6999969,83474400
2/3/2022,163.1929169,166.5599976,167.3600006,162.9499969,164.3899994,79724800
3/3/2022,162.8695679,166.2299957,168.9100037,165.5500031,168.4700012,76678400
4/3/2022,159.8714294,163.1699982,165.5500031,162.1000061,164.4900055,83737200
7/3/2022,156.0796814,159.3000031,165.0200043,159.0399933,163.3600006,96418800
8/3/2022,154.2572784,157.4400024,162.8800049,155.8000031,158.8200073,131148300
9/3/2022,159.6558838,162.9499969,163.4100037,159.4100037,161.4799957,91454900
10/3/2022,155.3154449,158.5200043,160.3899994,155.9799957,160.1999969,105342000
11/3/2022,151.6020203,154.7299957,159.2799988,154.5,158.9299927,96970100
14/3/2022,147.5751801,150.6199951,154.1199951,150.1000061,151.4499969,108732100
15/3/2022,151.9547882,155.0899963,155.5700073,150.3800049,150.8999939,92964300
16/3/2022,156.3638153,159.5899963,160,154.4600067,157.0500031,102300200
17/3/2022,157.3729858,160.6199951,161,157.6300049,158.6100006,75615400
18/3/2022,160.6650238,163.9799957,164.4799957,159.7599945,160.5099945,123511700
21/3/2022,162.0367889,165.3800049,166.3500061,163.0099945,163.5099945,95811400
22/3/2022,165.4072266,168.8200073,169.4199982,164.9100037,165.5099945,81532000
23/3/2022,166.7691498,170.2100067,172.6399994,167.6499939,167.9900055,98062700
24/3/2022,170.5511017,174.0700073,174.1399994,170.2100067,171.0599976,90131400
25/3/2022,171.187973,174.7200012,175.2799988,172.75,173.8800049,80546200
28/3/2022,172.0501556,175.6000061,175.7299957,172,172.1699982,90371900
29/3/2022,175.3422546,178.9600067,179.0099945,176.3399963,176.6900024,100589400
30/3/2022,174.1762848,177.7700043,179.6100006,176.6999969,178.5500031,92633200
31/3/2022,171.0801849,174.6100006,178.0299988,174.3999939,177.8399963,103049300
1/4/2022,170.7862396,174.3099976,174.8800049,171.9400024,174.0299988,78751300
4/4/2022,174.8328094,178.4400024,178.4900055,174.4400024,174.5700073,76468400
5/4/2022,171.5210419,175.0599976,178.3000031,174.4199982,177.5,73401800
6/4/2022,168.356369,171.8300018,173.6300049,170.1300049,172.3600006,89058800
7/4/2022,168.6601105,172.1399994,173.3600006,169.8500061,171.1600037,77594700
8/4/2022,166.6515656,170.0899963,171.7799988,169.1999969,171.7799988,76575500
11/4/2022,162.3992615,165.75,169.0299988,165.5,168.7100067,72246700
12/4/2022,164.2706757,167.6600037,169.8699951,166.6399994,168.0200043,79265200
13/4/2022,166.9552765,170.3999939,171.0399933,166.7700043,167.3899994,70618900
14/4/2022,161.9485321,165.2899933,171.2700043,165.0399933,170.6199951,75329400
